"Model","MSE","RMSE","MAE","R2","Relative_RMSE"
"Elastic Net",15.8922869028752,3.98651312588774,2.95232162813602,0.532342405661649,0.61262125624427
"Lasso",16.4342166450248,4.05391374415204,2.93040328402525,0.516395200513457,0.622978942304445
"PCLAS",16.7165020747786,4.0885819148916,3.01091324155104,0.510541872840824,0.628306519974325
"PCR",17.4382290405792,4.17591056424574,3.17852111676433,0.486850426720964,0.641726615477343
"DFM",17.82899565678,4.22243953855825,3.20690072525535,0.475351453867211,0.648876883843445
"PCLAR",17.8885034128159,4.22948027691534,3.21044411178995,0.476225747530777,0.649958858451581
"Ridge",18.8802885532745,4.34514540070577,3.24601848269798,0.444415370852585,0.667733517960411
"3PRF",38.2439916668437,6.18417267440388,4.21205990999778,-0.0948408626360564,0.950343197924661
"Random Walk",42.3450133074117,6.50730461154322,5.2409526585733,-0.24607409723939,1
